OBJECTID,Neighborhood,Tax_ID,Address,Owner_Agency,Acquisition_Date,Purchase_Price,Funding_Source,CONDEMNED,RESTRICTIONS,Current_Use,Sq_Footage,Mowable_Sq_Footage,Zoning,Deed_Book,Deed_Page,Property_Description,Notes,Neighborhood_Plan,Available_For_Sale,Disposotion_Date,ORIG_FID,More_Details,GlobalID,SHAPE
1,Arlington Park,0005486,418 Burtner St,Redevelopment Commission of Greensboro,6/13/1990,29000,Null,Yes,Yes,Vacant Lot,6810.221036,6720,R-5,003814,00506,235 PB8-58 BK3788-210,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25748,Yes,Null,1,Null,{05FC0F86-64C1-4D19-AFD4-4F54D213C9A8},Point
2,Arlington Park,0003269,1002 Caldwell St,Redevelopment Commission of Greensboro,8/30/1979,22000,Null,Null,Yes,Vacant Lot & Non-buildable,2680.10981,Null,R-5,003006,00627,.07 AC PT 1 S 2 PB 68-122 VANCE,NON-BUILDABLE,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25748,Yes,Null,2,Null,{17042C42-95FD-45D1-9479-519EDEED2EBC},Point
3,Arlington Park,0005391,1402 Plymouth St,Redevelopment Commission of Greensboro,9/11/1992,22000,Null,No,Yes,Vacant Lot,17364.991781,30800,R-5,004002,00701,2 PB 116-13 REDEVELOPMENT,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25748,Yes,Null,3,Null,{0103AFB9-922C-4FA7-8280-570BD4E755DF},Point
4,Arlington Park,0005408,1404 Plymouth St,Redevelopment Commission of Greensboro,9/11/1992,25500,Null,No,Yes,Vacant Lot,12790.437479,11500,R-5,004002,00701,1 PB 116-13 REDEVELOPMENT,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25748,Yes,Null,4,Null,{16571C86-7FBA-4687-9C7D-DEC4D7235162},Point
5,Arlington Park,0007993,1524 Randolph Ave,Redevelopment Commission of Greensboro,3/25/1996,31850,Null,Yes,Yes,Vacant Lot,10648.667242,8547,R-5,004398,01809,1 BA PB3-163 HILL & STREET CLOS,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25748,Yes,Null,5,Null,{7CAAA2BB-4E37-4BF4-B66B-7F799E51F6C2},Point
6,Eastside Park,0013205,201 Gillespie St,Redevelopment Commission of Greensboro,4/19/1995,9000,Null,Yes,Yes,Vacant Lot,9808.770927,6450,RM-18,004487,01408,1-2 PB3-9 EAST SIDE PARK,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25789,Yes,Null,6,Null,{C8FCF733-C27F-4E4B-9100-5BEDFEBA28A3},Point
7,Eastside Park,0013209,209 Gillespie St,Redevelopment Commission of Greensboro,1/16/2003,58000,Null,No,Yes,Vacant Lot,5908.991457,6250,RM-18,005725,02742,6 B1 PB 3-9 EASTSIDE PK,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25789,Yes,Null,7,Null,{097F4F42-9F0C-4B62-98ED-72CF06BB2936},Point
8,Eastside Park,0013321,407 Gillespie St,Redevelopment Commission of Greensboro,12/1/1994,7000,Null,No,Yes,Vacant Lot,7413.487282,7250,RM-18,004262,00426,7 PB 2-106 YOUNG,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25789,Yes,Null,8,Null,{4B9991BB-A233-4E5B-8B6E-7BCDC64E6B55},Point
11,Eastside Park,0013220,206 York St,Redevelopment Commission of Greensboro,2/7/2005,42700,Null,Yes,Yes,Vacant Lot,9049.060629,9022,RM-18,006411,01391,18-19 B1 PB 3-9 EAST SIDE PK,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25789,Yes,Null,11,Null,{E082EFB4-C927-44BA-8533-10FB5E4AD96F},Point
12,Eastside Park,0013219,208 York St,Redevelopment Commission of Greensboro,2/7/2005,42700,Null,Yes,Yes,Vacant Lot,6479.859693,5467,RM-18,006411,01391,17 B1 PB 3-9 EAST SIDE PK,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25789,Yes,Null,12,Null,{299C22AF-BE63-4159-975B-CDCAD4843BEC},Point
13,Ole Asheboro,0001270,400 E. Bragg St,Redevelopment Commission of Greensboro,6/12/1989,Null,CDBG,Null,Yes,Vacant Lot,8892.529911,7650,C-M,003746,01953,53 PB 97-135 BELLEVUE VANCE,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,13,Null,{A76A7793-BADF-428E-A6D4-AFC19E00B535},Point
14,Ole Asheboro,0002848,526 Douglas St,Redevelopment Commission of Greensboro,9/6/1994,5000,CDBG,Yes,Yes,Vacant Lot,7152.647556,6864,TN,004184,01459,1 LOT THORNTON & 4239-1408,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,15,Subject to RFP Process,{813A450F-9D04-418C-ABBD-AA467ACBFE95},Point
15,Ole Asheboro,0002849,528 Douglas St,Redevelopment Commission of Greensboro,9/6/1994,Null,CDBG,No,Yes,Vacant Lot,6660.76754,6600,TN,004184,01459,1 LOT THORNTON & 4239-1408,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,16,Subject to RFP Process,{8D12063F-8E3B-49A3-A20E-450403AB7675},Point
16,Ole Asheboro,0002864,532 Douglas St,Redevelopment Commission of Greensboro,8/29/1990,25000,CDBG,No,Yes,Vacant Lot,9802.839835,9768,TN,003829,02152,532 DOUGLAS ST,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,17,Subject to RFP Process,{1E892EC7-A63F-4DE1-BBAF-2A44B8945452},Point
18,Ole Asheboro,0002833,919 Pearson St,Redevelopment Commission of Greensboro,10/22/2010,13000,CDBG,No,Yes,Vacant Lot,12139.8632,1657,R-5,007174,02533,3,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,21,Null,{34E8FFBB-5947-446D-B6E8-FD218B55AAD2},Point
