OBJECTID,SHAPE,inci_id,date_occu,address,description,type,X_Coord,Y_Coord,category,NIBRS_Code
47,Point,20191129103,11/29/2019 2:08:00 PM,2600 IMMANUEL RD,Murder & Non-Negligent Manslaughter,Homicide Offenses,1753630.998056,840259.769295,Person,09A
275,Point,20191204098,12/4/2019 10:52:13 AM,1400 BROWN BLVD,Murder & Non-Negligent Manslaughter,Homicide Offenses,1775604.827021,840337.895901,Person,09A
416,Point,20191206263,12/6/2019 9:42:00 PM,2800 SPRING GARDEN ST,Murder & Non-Negligent Manslaughter,Homicide Offenses,1752304.627625,843306.276704,Person,09A
726,Point,20191212253,12/12/2019 7:25:27 PM,3500 LYNHAVEN DR,Murder & Non-Negligent Manslaughter,Homicide Offenses,1761107.826516,830476.484,Person,09A
838,Point,20191215050,12/15/2019 3:36:00 AM,1800 SPRING GARDEN ST,Murder & Non-Negligent Manslaughter,Homicide Offenses,1757215.930399,843114.48405,Person,09A
1019,Point,20191218116,12/18/2019 12:40:44 PM,1300 S HOLDEN RD/SWAN ST,Murder & Non-Negligent Manslaughter,Homicide Offenses,1751097.166533,839753.803406,Person,09A
1760,Point,20200101130,1/1/2020 10:37:00 AM,3600 SWEET BIRCH DR,Murder & Non-Negligent Manslaughter,Homicide Offenses,1787181.179565,839309.416139,Person,09A
2817,Point,20200120151,1/20/2020 3:00:00 PM,4700 FEWELL RD,Murder & Non-Negligent Manslaughter,Homicide Offenses,1777084.518722,871734.65102,Person,09A
4250,Point,20200216044,2/15/2020 9:45:00 PM,400 S BUNKER HILL RD,Murder & Non-Negligent Manslaughter,Homicide Offenses,1699373.478035,858365.028208,Person,09A
5023,Point,20200229081,2/29/2020 11:05:52 AM,1000 SUMMIT AV,Murder & Non-Negligent Manslaughter,Homicide Offenses,1770592.400569,850903.252763,Person,09A
6874,Point,20200403053,4/2/2020 3:38:00 AM,400 LOWDERMILK ST,Murder & Non-Negligent Manslaughter,Homicide Offenses,1779601.659584,848670.085215,Person,09A
6900,Point,20200402133,4/2/2020 6:49:00 PM,1000 CREEK RIDGE RD,Murder & Non-Negligent Manslaughter,Homicide Offenses,1758072.09411,829785.406519,Person,09A
7391,Point,20200412016,4/12/2020 12:57:21 AM,500 MYSTIC DR,Murder & Non-Negligent Manslaughter,Homicide Offenses,1762504.063005,827600.475387,Person,09A
7630,Point,20200417138,4/17/2020,4400 BECKFORD DR,Murder & Non-Negligent Manslaughter,Homicide Offenses,1743159.017029,836339.099129,Person,09A
7864,Point,20200421083,4/21/2020 11:23:47 AM,3200 RANDLEMAN RD,Murder & Non-Negligent Manslaughter,Homicide Offenses,1761767.633334,822817.672664,Person,09A
8103,Point,20200425176,4/25/2020 10:50:00 PM,800 HAYWOOD ST,Murder & Non-Negligent Manslaughter,Homicide Offenses,1762132.402684,841941.893331,Person,09A
8206,Point,20200427231,4/27/2020 9:51:22 PM,900 RUGBY ST,Murder & Non-Negligent Manslaughter,Homicide Offenses,1770973.344432,841939.367988,Person,09A
8229,Point,20200428131,4/28/2020 2:40:00 PM,500 LAMA ST,Murder & Non-Negligent Manslaughter,Homicide Offenses,1764581.981707,839557.118987,Person,09A
8270,Point,20200429066,4/29/2020 11:18:40 AM,0 COVEY LN,Murder & Non-Negligent Manslaughter,Homicide Offenses,1764269.996457,825341.634181,Person,09A
8787,Point,20200509033,5/9/2020 6:18:34 AM,600 ABINGTON DR,Murder & Non-Negligent Manslaughter,Homicide Offenses,1779215.058204,847960.208523,Person,09A
9258,Point,20200519136,5/19/2020 1:23:42 PM,1300 BRIDFORD PKWY,Murder & Non-Negligent Manslaughter,Homicide Offenses,1733186.270703,840239.775512,Person,09A
21,Point,20191211112,11/28/2019 9:00:00 PM,3800 GREEN POINT DR,Rape,Sex Offenses,1747166.434269,834593.071383,Person,11A
48,Point,20191129109,11/29/2019 2:36:15 PM,3800 OVERLAND HTS,Rape,Sex Offenses,1747700.618328,836027.199136,Person,11A
689,Point,20191212192,12/12/2019,5600 ATWATER DR,Rape,Sex Offenses,1734794.035308,827053.630709,Person,11A
697,Point,20191212247,12/12/2019 4:30:00 AM,100 GROVECREST WAY,Rape,Sex Offenses,1765273.347664,842841.681094,Person,11A
