OBJECTID,INTERSECTION,COUNT_DATE,ST_NAME1,ST_SEGMENT_DIR1,ST_SEGMENT_ADT1,ST_NAME2,ST_SEGMENT_DIR2,ST_SEGMENT_ADT2,ST_NAME3,ST_SEGMENT_DIR3,ST_SEGMENT_ADT3,ST_NAME4,ST_SEGMENT_DIR4,ST_SEGMENT_ADT4,ST_NAME5,ST_SEGMENT_DIR5,ST_SEGMENT_ADT5,INTERSECTION_ADT,YearCount,HyperlinkPDF,GlobalID
1769,BATTLEGROUND AVE & BRASSFIELD RD,1121731200000,BATTLEGROUND AVE,NORTH,33710,BATTLEGROUND AVE,SOUTH,28917,BRASSFIELD RD,WEST,10351,DRIVE WAY,EAST,4686,NA,NA,NA,38832,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-BRASSFIELDRD05.pdf,{6AF75E48-F3FA-4F0E-B7C1-8352F137BDD9}
1770,BATTLEGROUND AVE & N EDGEWORTH ST,1114560000000,W FISHER AVE,NORTH,14412,N EDGEWORTH ST,SOUTH,9237,NA,WEST,11151,BATTLEGROUND AVE,EAST,5724,NA,NA,NA,20262,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-EDGEWORTHST05.pdf,{B341D1CA-2C41-41A6-9C4E-78436951C8BC}
1771,BATTLEGROUND AVE & EDNEY RIDGE RD,1126137600000,BATTLEGROUND AVE,NORTH,37308,BATTLEGROUND AVE,SOUTH,35337,EDNEY RIDGE RD,WEST,4490,EDNEY RIDGE RD,EAST,1583,NA,NA,NA,39359,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-EDNEYRIDGERD05.pdf,{29B8AF37-CF71-4AE0-B865-E6CBAFC1670D}
1772,BATTLEGROUND AVE & FERNWOOD DR,1121817600000,BATTLEGROUND AVE,NORTH,35795,BATTLEGROUND AVE,SOUTH,36350,FERNWOOD DR,WEST,318,FERNWOOD DR,EAST,3611,NA,NA,NA,38037,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-FERNWOODDR05.pdf,{7FF3D164-935F-4634-9EF7-EEFE2876B4F2}
1773,BATTLEGROUND AVE & HILL ST,1128297600000,BATTLEGROUND AVE,NORTH,16965,BATTLEGROUND AVE,SOUTH,15926,HILL ST,WEST,2965,HILL ST,EAST,1814,NA,NA,NA,18835,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-HILLST05.pdf,{25D1DC9A-755D-4DCC-99FB-5CAF389E5351}
1774,BATTLEGROUND AVE & HORSE PEN CREEK RD,1128556800000,BATTLEGROUND AVE,NORTH,23292,BATTLEGROUND AVE,SOUTH,24016,HORSE PEN CREEK RD,WEST,12187,OLD BATTLEGROUND RD,EAST,6991,NA,NA,NA,33243,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-HORSEPENCREEKRD05.pdf,{051EF4CF-5AFA-4707-AA12-3CE17C2E93E1}
1775,BATTLEGROUND AVE & NEW GARDEN RD,1104969600000,BATTLEGROUND AVE,NORTH,31492,BATTLEGROUND AVE,SOUTH,34199,NEW GARDEN RD,WEST,15958,NEW GARDEN RD,EAST,8165,NA,NA,NA,44907,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-NEWGARDENRD05.pdf,{74C7401C-5075-4768-84F6-844B889BD7C8}
1776,BATTLEGROUND AVE & PEMBROKE RD,1107734400000,BATTLEGROUND AVE,NORTH,34287,BATTLEGROUND AVE,SOUTH,36814,PEMBROKE RD,WEST,11006,PEMBROKE RD,EAST,7183,NA,NA,NA,44645,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-PEMBROKERD05.pdf,{7615613A-813A-4826-8489-A781C44A06C3}
1777,BATTLEGROUND AVE & WESTRIDGE RD,1120521600000,WESTRIDGE RD,NORTH,32613,WESTRIDGE RD,SOUTH,41478,BATTLEGROUND AVE,WEST,20520,BATTLEGROUND AVE,EAST,7831,NA,NA,NA,51221,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BATTLEGROUNDAV-WESTRIDGERD05.pdf,{E534029F-DFFC-474A-86C5-582259BF1C45}
1778,BELLEMEADE ST & N ELM ST,1117497600000,N ELM ST,NORTH,10615,N ELM ST,SOUTH,9361,BELLEMEADE ST,WEST,3094,SUMMIT AVE,EAST,3378,NA,NA,NA,13224,2005,http://gis.greensboro-nc.gov/gisimages/TrafficCounts/2005/BELLEMEADECT-ELMST05.pdf,{931C18B4-E616-40C3-A657-601B36D94263}
