OBJECTID,GPS_DATE,REASONCODE,SIGNCLASS,SIGNTYPE,FACETYPE,SIGNSIZE,DIRFACING,SIDEOFSTREET,SUPPORTBASE,SUPPORTMATERIAL,SUPPORTTYPE,OWNER,COMMENTS,X_COORD,Y_COORD,GISOBJID,D7IDESCRIPTION,D7IASSIGNEDTO,D7IDATECREATED,D7IDATEMODIFIED,D7IDATEINACTIVE,D7IEQUIPMENTID,D7IPARENTID,Shape
98,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,STATE,Null,1715721,849299,298038,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005544,10156076,Point
110,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,Null,1715456,847962,298051,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005557,10156279,Point
124,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1772458,850330,299116,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006622,10157880,Point
125,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1772458,850330,299117,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006623,10157880,Point
129,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1771621,849375,299121,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006627,10157883,Point
130,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1771621,849375,299122,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006628,10157883,Point
383,10/3/2019,Null,MISCELLANEOUS,BUS-1; FIXED ROUTE,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1731007,846736,298287,Street Sign Position: BUS-1; fixed route (rt 9),0,12/15/2015,Null,Null,20005793,10155577,Point
532,9/25/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1709191,855623,298422,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005928,10155895,Point
569,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1769396,849138,299047,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006553,10157833,Point
570,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1770261,850182,299048,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006554,10157834,Point
571,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1770261,850182,299049,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006555,10157834,Point
572,2/6/2020,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1770600,850833,299050,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006556,10157835,Point
573,2/6/2020,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,SOUTH,Null,Null,Null,Null,CITY,Null,1770600,850833,299051,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006557,10157835,Point
616,9/25/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,CITY,Null,1712096,851773,298872,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006378,10156524,Point
816,9/11/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1768302,847462,300223,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20007729,10157035,Point
822,1/8/2019 6:52:15 PM,MODIFICATION,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1764904,844593,299733,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,1/8/2019 6:52:17 PM,20007239,10156157,Point
1007,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,STATE,Null,1714586,863819,298190,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005696,10155805,Point
1071,10/10/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,STATE,Null,1720365,847839,298751,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006257,10156299,Point
1290,10/1/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1717861,861414,297523,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005029,10155740,Point
1491,10/1/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,WEST,Null,Null,Null,Null,CITY,Null,1719155,862293,298116,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005622,10155756,Point
1582,9/26/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,STATE,Null,1713071,848971,298019,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20005525,10156060,Point
1652,1/21/2004,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,STATE,Null,1720735,846060,298722,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006228,10155976,Point
1736,10/1/2019,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,SOUTH,Null,Null,Null,Null,STATE,Null,1727076,843850,298546,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006052,10156007,Point
1759,9/2/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1765595,843498,298631,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006137,10156568,Point
1760,9/2/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1765595,843498,298632,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006138,10156568,Point
1784,9/3/2003,Null,REGULATORY,R7-45L; NPAT LT BUS STOP,HIGH INTENSITY,12 X 30,WEST,Null,Null,Null,Null,CITY,Null,1766391,844666,298657,Street Sign Position: R7-45L; left arrow,0,12/15/2015,Null,Null,20006163,10156587,Point
1785,9/3/2003,Null,REGULATORY,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,WEST,Null,Null,Null,Null,CITY,Null,1766391,844666,298658,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006164,10156587,Point
1786,9/3/2003,Null,REGULATORY,R7-45R; NPAT RT BUS STOP,HIGH INTENSITY,12 X 30,WEST,Null,Null,Null,Null,CITY,Null,1766415,844637,298659,Street Sign Position: R7-45R; right arrow,0,12/15/2015,Null,Null,20006165,10156588,Point
1799,9/17/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,NORTH,Null,Null,Null,Null,CITY,Null,1766542,847935,299034,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006540,10157474,Point
1800,9/17/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,NORTH,Null,Null,Null,Null,CITY,Null,1766542,847935,299035,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006541,10157474,Point
1852,9/17/2003,Null,MISCELLANEOUS,BUS; GTA BUS STOP,ENGINEER GRADE,12 X 18,EAST,Null,Null,Null,Null,CITY,Null,1765126,846695,298996,Street Sign Position: BUS; gta bus stop,0,12/15/2015,Null,Null,20006502,10157443,Point
1853,9/17/2003,Null,MISCELLANEOUS,BUS-1A; EXTD SVS TAB,ENGINEER GRADE,9 X 12,EAST,Null,Null,Null,Null,CITY,Null,1765126,846695,298997,Street Sign Position: BUS-1a; extd svs tab,0,12/15/2015,Null,Null,20006503,10157443,Point
